pid,ppid,name,exe,username,status,create_time,cpu_percent,memory_rss,num_threads,num_fds,cmdline_len,is_system_path,is_temp_path,platform,exe_sha256
71,2,khungtaskd,,root,sleeping,1780306705.13,0.0,0,1,-1,0,0,0,linux,
72,2,oom_reaper,,root,sleeping,1780306705.13,0.0,0,1,-1,0,0,0,linux,
74,2,kworker/R-writeback,,root,idle,1780306705.13,0.0,0,1,-1,0,0,0,linux,
75,2,kcompactd0,,root,sleeping,1780306705.13,0.0,0,1,-1,0,0,0,linux,
76,2,ksmd,,root,sleeping,1780306705.13,0.0,0,1,-1,0,0,0,linux,
77,2,khugepaged,,root,sleeping,1780306705.13,0.0,0,1,-1,0,0,0,linux,
78,2,kworker/R-kblockd,,root,idle,1780306705.13,0.0,0,1,-1,0,0,0,linux,
79,2,kworker/R-blkcg_punt_bio,,root,idle,1780306705.13,0.0,0,1,-1,0,0,0,linux,
80,2,kworker/R-kintegrityd,,root,idle,1780306705.13,0.0,0,1,-1,0,0,0,linux,
81,2,kworker/3:1-i915-unordered,,root,idle,1780306705.15,0.0,0,1,-1,0,0,0,linux,
82,2,irq/9-acpi,,root,sleeping,1780306705.22,0.0,0,1,-1,0,0,0,linux,
84,2,kworker/1:1-events,,root,idle,1780306705.23,0.0,0,1,-1,0,0,0,linux,
85,2,kworker/4:1-events,,root,idle,1780306705.23,0.0,0,1,-1,0,0,0,linux,
87,2,kworker/R-tpm_dev_wq,,root,idle,1780306705.34,0.0,0,1,-1,0,0,0,linux,
88,2,kworker/R-ata_sff,,root,idle,1780306705.34,0.0,0,1,-1,0,0,0,linux,
89,2,kworker/R-edac-poller,,root,idle,1780306705.34,0.0,0,1,-1,0,0,0,linux,
90,2,kworker/R-devfreq_wq,,root,idle,1780306705.34,0.0,0,1,-1,0,0,0,linux,
91,2,watchdogd,,root,sleeping,1780306705.42,0.0,0,1,-1,0,0,0,linux,
92,2,kworker/R-quota_events_unbound,,root,idle,1780306705.42,0.0,0,1,-1,0,0,0,linux,
93,2,kswapd0,,root,sleeping,1780306705.46,0.0,0,1,-1,0,0,0,linux,
94,2,kworker/R-kthrotld,,root,idle,1780306705.47,0.0,0,1,-1,0,0,0,linux,
95,2,irq/121-aerdrv,,root,sleeping,1780306705.47,0.0,0,1,-1,0,0,0,linux,
96,2,irq/121-pcie-dpc,,root,sleeping,1780306705.47,0.0,0,1,-1,0,0,0,linux,
97,2,irq/122-aerdrv,,root,sleeping,1780306705.47,0.0,0,1,-1,0,0,0,linux,
98,2,irq/122-pcie-dpc,,root,sleeping,1780306705.47,0.0,0,1,-1,0,0,0,linux,
99,2,irq/123-aerdrv,,root,sleeping,1780306705.47,0.0,0,1,-1,0,0,0,linux,
100,2,irq/123-pcie-dpc,,root,sleeping,1780306705.47,0.0,0,1,-1,0,0,0,linux,
101,2,irq/124-aerdrv,,root,sleeping,1780306705.47,0.0,0,1,-1,0,0,0,linux,
102,2,irq/124-pcie-dpc,,root,sleeping,1780306705.47,0.0,0,1,-1,0,0,0,linux,
103,2,kworker/R-acpi_thermal_pm,,root,idle,1780306705.47,0.0,0,1,-1,0,0,0,linux,
105,2,kworker/5:1-i915-unordered,,root,idle,1780306705.48,0.0,0,1,-1,0,0,0,linux,
106,2,hwrng,,root,sleeping,1780306705.59,0.0,0,1,-1,0,0,0,linux,
107,2,scsi_eh_0,,root,sleeping,1780306705.59,0.0,0,1,-1,0,0,0,linux,
108,2,kworker/R-scsi_tmf_0,,root,idle,1780306705.59,0.0,0,1,-1,0,0,0,linux,
110,2,kworker/R-mld,,root,idle,1780306705.6,0.0,0,1,-1,0,0,0,linux,
111,2,kworker/R-ipv6_addrconf,,root,idle,1780306705.6,0.0,0,1,-1,0,0,0,linux,
112,2,kworker/R-kstrp,,root,idle,1780306705.6,0.0,0,1,-1,0,0,0,linux,
